inning,top,ab_id,g_id,p_score,batter_id,pitcher_id,stand,p_throws,event,o
1.0,1.0,2019000001.0,201900001.0,0.0,594777,571666,L,R,Flyout,1
1.0,1.0,2019000002.0,201900001.0,0.0,545361,571666,R,R,Flyout,2
1.0,1.0,2019000003.0,201900001.0,0.0,571506,571666,L,R,Groundout,3
1.0,0.0,2019000004.0,201900001.0,0.0,543257,502239,L,R,Single,0
1.0,0.0,2019000005.0,201900001.0,0.0,656305,502239,R,R,Flyout,1
1.0,0.0,2019000006.0,201900001.0,0.0,572039,502239,R,R,Forceout,2
1.0,0.0,2019000007.0,201900001.0,0.0,501981,502239,R,R,Flyout,3
2.0,1.0,2019000008.0,201900001.0,0.0,592743,571666,R,R,Groundout,1
2.0,1.0,2019000009.0,201900001.0,0.0,405395,571666,R,R,Hit By Pitch,1
2.0,1.0,2019000010.0,201900001.0,0.0,446359,571666,R,R,Pop Out,2
2.0,1.0,2019000011.0,201900001.0,0.0,600303,571666,L,R,Flyout,3
2.0,0.0,2019000012.0,201900001.0,0.0,595777,502239,L,R,Triple,0
2.0,0.0,2019000013.0,201900001.0,0.0,640461,502239,R,R,Sac Fly,1
2.0,0.0,2019000014.0,201900001.0,0.0,543760,502239,R,R,Strikeout,2
2.0,0.0,2019000015.0,201900001.0,0.0,657656,502239,R,R,Strikeout,3
3.0,1.0,2019000016.0,201900001.0,1.0,518960,571666,R,R,Lineout,1
3.0,1.0,2019000017.0,201900001.0,1.0,488721,571666,R,R,Strikeout,2
3.0,1.0,2019000018.0,201900001.0,1.0,594777,571666,L,R,Flyout,3
3.0,0.0,2019000019.0,201900001.0,0.0,572033,502239,R,R,Pop Out,1
3.0,0.0,2019000020.0,201900001.0,0.0,543257,502239,L,R,Single,1
3.0,0.0,2019000021.0,201900001.0,0.0,656305,502239,R,R,Walk,1
3.0,0.0,2019000022.0,201900001.0,0.0,572039,502239,R,R,Double,1
3.0,0.0,2019000023.0,201900001.0,0.0,501981,502239,R,R,Fielders Choice Out,2
3.0,0.0,2019000024.0,201900001.0,0.0,595777,502239,L,R,Flyout,3
4.0,1.0,2019000025.0,201900001.0,2.0,545361,571666,R,R,Walk,0
4.0,1.0,2019000026.0,201900001.0,2.0,571506,571666,L,R,Groundout,1
4.0,1.0,2019000027.0,201900001.0,2.0,592743,571666,R,R,Flyout,2
4.0,1.0,2019000028.0,201900001.0,2.0,405395,571666,R,R,Flyout,3
4.0,0.0,2019000029.0,201900001.0,0.0,640461,502239,R,R,Lineout,1
4.0,0.0,2019000030.0,201900001.0,0.0,543760,502239,R,R,Home Run,1
4.0,0.0,2019000031.0,201900001.0,0.0,657656,502239,R,R,Lineout,2
4.0,0.0,2019000032.0,201900001.0,0.0,572033,502239,R,R,Groundout,3
5.0,1.0,2019000033.0,201900001.0,3.0,446359,571666,R,R,Strikeout,1
5.0,1.0,2019000034.0,201900001.0,3.0,600303,571666,L,R,Double,1
5.0,1.0,2019000035.0,201900001.0,3.0,518960,571666,R,R,Walk,1
5.0,1.0,2019000036.0,201900001.0,3.0,488721,571666,R,R,Grounded Into DP,3
5.0,0.0,2019000037.0,201900001.0,0.0,543257,502239,L,R,Flyout,1
5.0,0.0,2019000038.0,201900001.0,0.0,656305,502239,R,R,Lineout,2
5.0,0.0,2019000039.0,201900001.0,0.0,572039,502239,R,R,Strikeout,3
6.0,1.0,2019000040.0,201900001.0,3.0,594777,571666,L,R,Walk,0
6.0,1.0,2019000041.0,201900001.0,3.0,545361,571666,R,R,Pop Out,1
6.0,1.0,2019000042.0,201900001.0,3.0,571506,571666,L,R,Grounded Into DP,3
6.0,0.0,2019000043.0,201900001.0,0.0,501981,502239,R,R,Home Run,0
6.0,0.0,2019000044.0,201900001.0,0.0,595777,502239,L,R,Lineout,1
6.0,0.0,2019000045.0,201900001.0,0.0,640461,502239,R,R,Pop Out,2
6.0,0.0,2019000046.0,201900001.0,0.0,543760,502239,R,R,Groundout,3
7.0,1.0,2019000047.0,201900001.0,4.0,592743,642152,R,R,Walk,0
7.0,1.0,2019000048.0,201900001.0,4.0,405395,642152,R,R,Strikeout,1
7.0,1.0,2019000049.0,201900001.0,4.0,446359,642152,R,R,Pop Out,2
7.0,1.0,2019000050.0,201900001.0,4.0,600303,642152,L,R,Pop Out,3
7.0,0.0,2019000051.0,201900001.0,0.0,657656,592135,R,R,Flyout,1
7.0,0.0,2019000052.0,201900001.0,0.0,572033,592135,R,R,Flyout,2
7.0,0.0,2019000053.0,201900001.0,0.0,543257,592135,L,R,Groundout,3
8.0,1.0,2019000054.0,201900001.0,4.0,518960,465657,R,R,Flyout,1
8.0,1.0,2019000055.0,201900001.0,4.0,488721,465657,R,R,Flyout,2
8.0,1.0,2019000056.0,201900001.0,4.0,594777,465657,L,R,Single,2
8.0,1.0,2019000057.0,201900001.0,4.0,545361,465657,R,R,Single,2
8.0,1.0,2019000058.0,201900001.0,4.0,571506,465657,L,R,Flyout,3
8.0,0.0,2019000059.0,201900001.0,0.0,656305,572703,R,R,Single,0
8.0,0.0,2019000060.0,201900001.0,0.0,572039,572703,R,R,Flyout,1
8.0,0.0,2019000061.0,201900001.0,0.0,501981,572703,R,R,Strikeout,2
8.0,0.0,2019000062.0,201900001.0,0.0,595777,572703,L,R,Pop Out,3
9.0,1.0,2019000063.0,201900001.0,4.0,592743,595014,R,R,Flyout,1
9.0,1.0,2019000064.0,201900001.0,4.0,405395,595014,R,R,Lineout,2
9.0,1.0,2019000065.0,201900001.0,4.0,446359,595014,R,R,Groundout,3
1.0,1.0,2019000066.0,201900002.0,0.0,430945,547943,R,L,Strikeout,1
1.0,1.0,2019000067.0,201900002.0,0.0,500871,547943,R,L,Single,1
1.0,1.0,2019000068.0,201900002.0,0.0,527038,547943,R,L,Strikeout,2
1.0,1.0,2019000069.0,201900002.0,0.0,444482,547943,L,L,Strikeout,3
1.0,0.0,2019000070.0,201900002.0,0.0,592626,425844,L,R,Double,0
1.0,0.0,2019000071.0,201900002.0,0.0,608369,425844,L,R,Walk,0
1.0,0.0,2019000072.0,201900002.0,0.0,457759,425844,R,R,Groundout,1
1.0,0.0,2019000073.0,201900002.0,0.0,571970,425844,L,R,Groundout,2
